WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555710726,Martyushevskoe,IV,118.46,Russia,62.63527,56.36196
555710729,Koschovcha,IV,94.78,Russia,63.23449,48.15724
555710730,Korabel`naya chashha,IV,33.33,Russia,62.60676,47.29194
555710737,Bol`shoe,IV,38.68,Russia,61.85399,52.10571
555710741,Adak,IV,26.69,Russia,66.49332,59.59320
555710743,CHuhlomskij Vad-Egyr,IV,26.64,Russia,61.24782,50.01137
555710747,Verhne-Lokchimskij,IV,425.68,Russia,61.50895,52.32331
555710748,Rodniki,IV,162.03,Russia,51.13761,38.98980
555710756,Lebyazh`e,IV,27.79,Russia,57.00991,65.54517
555710760,Uporovskij,IV,65.93,Russia,56.20374,66.17961
555710761,Boloto Isakovskoe,IV,45.17,Russia,58.77417,39.66760
555710779,CHumajsko-Irkutyanovskij,IV,267.44,Russia,55.64225,87.91152
555710784,Kozskij,IV,112.13,Russia,58.45580,40.02626
555710799,Bekel`deul`,IV,1048.61,Russia,53.94287,127.68350
555710800,Andreevskij,IV,761.56,Russia,49.79230,130.57663
555710805,CHerustinskij les,IV,228.30,Russia,55.44268,40.06586
555710830,Bushkovskij les,IV,92.80,Russia,57.11251,49.51899
555710831,Burejskij,II,1313.87,Russia,49.98715,130.20355
555710832,Gerbikanskij,IV,866.48,Russia,52.68090,132.03935
555710833,Blagoveshhenskij,IV,61.59,Russia,50.59110,127.65878
555710851,Krasnogorskij,IV,63.72,Russia,48.57647,141.98496
555710854,Ereminskij,IV,51.75,Russia,56.36216,70.56219
555710857,Amurskij,IV,164.48,Russia,49.65182,128.30557
555710866,Naumovskij,IV,102.25,Russia,58.37379,40.87325
555710876,Lachskij,IV,83.80,Russia,61.21884,38.64957
555710882,Krymskij,IV,209.22,Russia,45.09562,37.94730
555710883,Belorechenskij,IV,102.34,Russia,44.76519,39.73436
555710898,Muromskij,IV,597.56,Russia,55.92221,42.39792
555710910,Lesa zapadnoj chasti Borshhevskogo lesnichestva,IV,53.83,Russia,56.54303,36.81883
555710911,Pobochinskaya lesnaya dacha,III,25.98,Russia,51.93972,45.65091
555710918,Nizhne-Norskij,IV,302.79,Russia,52.50335,129.92417
555710919,Norskij,IA,2051.57,Russia,52.72780,130.33842
555710939,Iverskij,IV,500.78,Russia,51.76625,128.65629
555710940,Hingano-Arharinskij,IV,537.21,Russia,49.54985,130.79757
555710941,Krasnaya gorka,IV,131.74,Russia,44.99766,37.57427
555710942,Urkanskij,IV,1417.54,Russia,54.22216,125.34798
555710943,Olekminskij,IV,3691.50,Russia,55.97089,121.49628
555710944,Ul`minskij,IV,1891.41,Russia,51.79302,130.21629
555710945,Ust`-Tygdinskij,IV,935.89,Russia,52.69081,127.82985
555710946,Urushinskij,IV,371.88,Russia,53.58383,122.73066
555710947,Tashinskij,IV,1891.57,Russia,50.94811,129.98914
555710950,Verhne-Amurskij,IV,507.01,Russia,53.50720,123.84127
555710954,Magdagachinskij,IV,1045.15,Russia,53.63205,125.87962
555710955,Mal`mal`ta,IV,137.53,Russia,50.36847,130.81500
555710956,Lopchinskij,IV,1431.86,Russia,55.66602,122.32773
555710984,Boloto Suhoe,IV,40.20,Russia,58.66351,39.04636
555710990,Kochergatskij,IV,125.32,Russia,52.14362,105.15907
