candidate_id,lat,lon,landforms
uc-3427833,-37.3287,-59.1369,
uc-3844421,-32.8895,-68.8458,desert
uc-3429594,-29.15,-59.65,
uc-3435607,-34.6514,-58.6407,
uc-3428775,-34.6811,-58.5638,coast
uc-3835994,-36.6162,-64.2899,
uc-3427213,-34.0958,-59.0242,wetland
uc-3430861,-36.5743,-56.6939,coast
uc-3833883,-43.249,-65.305,desert|river
uc-3430988,-34.5664,-59.1148,
uc-7116866,-33.6757,-65.4578,
uc-3838859,-51.6253,-69.2523,coast|steppe
uc-3861056,-38.9339,-67.9903,desert|river
uc-7647007,-41.1456,-71.3082,glacier|lake
uc-3861416,-31.4931,-68.5326,desert|river
uc-3841490,-33.891,-60.5746,
uc-3428067,-35.0249,-58.4241,
uc-3842670,-36.8938,-60.3232,
uc-3839479,-31.2528,-61.4908,
uc-3436040,-34.8715,-57.8833,coast
uc-3853354,-34.5939,-60.9464,river
uc-3836620,-23.137,-64.3243,
uc-3435810,-34.1633,-58.9592,wetland
uc-3836992,-33.0834,-68.4731,desert
uc-3840300,-26.7909,-60.4413,
uc-3429980,-34.4587,-58.914,
uc-3433658,-33.0078,-58.5184,coast|wetland
uc-3430443,-38.5545,-58.7396,coast
uc-3855065,-39.0333,-67.5833,desert|river
uc-3833062,-33.7458,-61.9671,
uc-3435010,-34.4946,-58.6273,coast
uc-3433715,-29.1399,-59.2634,wetland
uc-3832791,-31.4183,-64.4901,
uc-3435264,-32.4846,-58.2322,coast|wetland
uc-3855075,-35.6593,-63.7579,
uc-3861344,-34.8969,-60.0191,
uc-3436199,-36.778,-59.8585,
uc-3840092,-42.7685,-65.0383,coast|desert
uc-3839982,-38.8805,-62.075,coast
uc-3430708,-34.6507,-59.4314,
uc-3836194,-31.5405,-68.4979,desert
uc-3834601,-22.5168,-63.8056,
uc-3433522,-34.5904,-58.629,coast
uc-3837675,-31.425,-62.084,
uc-3434509,-34.6177,-58.6015,coast
uc-3836772,-24.2313,-64.8661,steppe
uc-3435352,-32.2231,-58.1443,river
uc-3833367,-54.8108,-68.3159,coast|tundra
uc-3430340,-27.4868,-55.1199,
uc-3863379,-46.4479,-67.5227,coast|steppe
uc-3434674,-26.4045,-54.6185,
uc-3838793,-32.1767,-64.1129,river
uc-3838854,-53.7877,-67.7097,coast
uc-3840885,-38.9667,-68.2333,desert|river
uc-3833859,-38.3769,-60.2756,
uc-3846915,-23.8131,-64.7935,steppe
uc-3832899,-40.8152,-63.0004,river|steppe
uc-3862144,-38.8295,-68.1318,desert|river
uc-3428759,-28.1344,-58.7668,wetland
uc-3428576,-33.6792,-59.6663,river|wetland
uc-3859552,-38.9342,-69.2305,steppe
uc-3861953,-34.642,-60.4712,
uc-3428992,-34.4697,-58.5211,coast
uc-3436177,-37.8464,-58.2555,
uc-3832778,-33.2279,-60.3299,river|wetland
uc-3430104,-29.7125,-57.0877,river|wetland
uc-3832811,-27.5768,-60.7111,
uc-3433787,-34.4526,-58.6431,coast
uc-3430415,-32.3937,-59.7895,wetland
uc-3861445,-29.1616,-67.4993,desert
uc-3842881,-35.4439,-60.8846,
uc-3435713,-35.0538,-58.7621,
uc-3840860,-31.6833,-68.5833,desert
uc-3866163,-31.6498,-64.4297,
uc-3833875,-35.9733,-62.7328,
uc-3435448,-35.5768,-58.0121,
uc-3429971,-37.1111,-56.8652,coast
uc-3863882,-35.1156,-60.4896,
uc-3833520,-33.5812,-69.0154,desert
uc-3428068,-26.6167,-54.1333,
uc-3855090,-24.6745,-65.0466,steppe
uc-3862320,-25.9466,-60.6201,
uc-3841679,-35.8108,-61.899,
uc-3435103,-29.7915,-58.0499,wetland
uc-3853510,-30.9815,-64.0942,
uc-3862981,-32.8203,-61.3951,
uc-3856022,-31.4496,-60.9315,
uc-3431313,-35.1854,-59.0979,
uc-3855139,-34.9775,-67.6962,steppe
uc-3436150,-33.812,-59.5047,wetland
uc-3864331,-32.6302,-62.6888,river
uc-3838759,-33.191,-68.4622,desert
uc-3844298,-25.4971,-64.9711,steppe
uc-3430668,-38.2716,-57.8389,coast
uc-3838227,-34.2918,-60.2545,
uc-3433663,-33.1409,-59.3126,wetland
uc-3846864,-34.8682,-61.5293,
uc-3860164,-37.4586,-61.9329,
uc-3866496,-27.4315,-65.6146,steppe
uc-3862240,-31.6515,-68.2822,desert
uc-3854895,-32.8568,-60.7175,river
uc-3839490,-26.8708,-60.2154,
uc-3429777,-25.5991,-54.5735,river
uc-3427428,-31.8677,-59.027,wetland
uc-3862351,-33.0446,-61.1642,
uc-3433803,-26.5364,-59.3414,
uc-3837855,-36.2307,-61.1157,
uc-3832132,-38.9006,-70.0667,
uc-3832647,-39.0963,-67.0837,river|steppe
uc-3427761,-34.426,-58.5796,coast
uc-3855666,-27.0545,-65.4019,
uc-3435486,-30.7548,-57.982,wetland
uc-3430709,-29.1842,-58.0752,wetland
uc-3865436,-34.0631,-60.1026,
uc-3429399,-35.6388,-59.7794,
uc-3435038,-36.3154,-57.6755,
uc-3436311,-27.9142,-55.7535,
