qid,tier,lat,lon,sitelinks,iso
Q259633,pilgrimage_major,-17.38425,-66.13496,20,BO
Q262118,pilgrimage_major,48.63250,-3.42389,3,FR
Q284716,pilgrimage_major,45.49167,-73.61667,18,CA
Q305419,pilgrimage_major,19.48444,-99.11722,25,MX
Q314092,pilgrimage_major,50.58110,7.22133,11,DE
Q322678,pilgrimage_major,48.22627,12.67646,15,DE
Q369552,pilgrimage_major,49.37972,17.70194,10,CZ
Q382187,pilgrimage_major,49.36040,11.27890,2,DE
Q426742,pilgrimage_major,33.54661,133.57747,8,JP
Q429387,pilgrimage_major,43.12384,-0.20738,4,FR
Q458166,pilgrimage_major,39.52703,2.92648,5,ES
Q461491,pilgrimage_major,47.97433,11.18253,3,DE
Q511070,pilgrimage_major,34.10775,134.30428,6,JP
Q519072,pilgrimage_major,55.95620,-3.18786,15,GB
Q522170,pilgrimage_major,43.30890,-5.05635,15,ES
Q535065,pilgrimage_major,34.21778,135.58333,38,JP
Q573920,pilgrimage_major,50.81250,19.09722,35,PL
Q593540,pilgrimage_major,49.68501,14.01758,8,CZ
Q607880,pilgrimage_major,43.24500,-88.32722,7,US
Q611345,pilgrimage_major,33.83694,135.77639,32,JP
Q654996,pilgrimage_major,43.44093,13.61092,24,IT
Q655014,pilgrimage_major,44.94694,-93.10889,12,US
Q667111,pilgrimage_major,34.19140,134.20700,7,JP
Q669743,pilgrimage_major,47.77278,15.31861,28,AT
Q749170,pilgrimage_major,26.49028,74.55417,56,IN
Q752318,pilgrimage_major,49.58000,15.94194,38,CZ
Q769842,pilgrimage_major,48.85084,2.32293,11,FR
Q787035,pilgrimage_major,34.22511,133.77414,10,JP
Q805446,pilgrimage_major,38.67861,-9.17139,18,PT
Q805445,pilgrimage_major,3.44083,-76.55417,7,CO
Q810077,pilgrimage_major,13.63194,123.20000,8,PH
Q810096,pilgrimage_major,47.83610,16.92880,3,AT
Q810125,pilgrimage_major,42.33258,-71.10060,8,US
Q810139,pilgrimage_major,45.40137,11.88053,38,IT
Q810148,pilgrimage_major,47.02385,-70.92897,13,CA
Q810684,pilgrimage_major,41.65688,-0.87833,39,ES
Q819906,pilgrimage_major,49.45630,9.91974,2,DE
Q842004,pilgrimage_major,41.70712,15.70303,8,IT
Q846006,pilgrimage_major,50.86667,4.31722,32,BE
Q874076,pilgrimage_major,47.74611,9.21917,11,DE
Q876011,pilgrimage_major,46.37810,25.82500,6,RO
Q883099,pilgrimage_major,49.27470,7.64439,4,DE
Q897289,pilgrimage_major,35.28583,-115.68463,9,US
Q919766,pilgrimage_major,39.75083,2.86639,2,ES
Q936830,pilgrimage_major,50.02000,19.93750,15,PL
Q972483,pilgrimage_major,48.11407,11.61514,3,DE
Q980745,pilgrimage_major,40.75000,14.50056,18,IT
Q989664,pilgrimage_major,47.56080,12.68830,3,AT
Q992992,pilgrimage_major,47.21080,15.84750,2,AT
Q1024946,pilgrimage_major,42.55481,1.59086,14,AD
Q1046027,pilgrimage_major,42.83379,71.21047,18,KZ
Q1085463,pilgrimage_major,34.15983,134.50261,8,JP
Q1088485,pilgrimage_major,34.15556,134.49028,7,JP
Q1093326,pilgrimage_major,19.07194,73.53583,21,IN
Q1101226,pilgrimage_major,34.30306,133.94417,7,JP
Q1109694,pilgrimage_major,50.04120,8.08472,7,DE
Q1110116,pilgrimage_major,47.56078,18.94490,5,HU
Q1117553,pilgrimage_major,49.76150,12.21420,2,DE
Q1123058,pilgrimage_major,46.78915,16.93564,2,HU
Q1124701,pilgrimage_major,40.19011,18.20725,2,IT
Q1125177,pilgrimage_major,42.17010,0.23481,7,ES
Q1126381,pilgrimage_major,47.50722,18.98806,2,HU
Q1139113,pilgrimage_major,42.84833,-2.57028,8,ES
Q1170495,pilgrimage_major,49.45824,10.03171,2,DE
Q1189293,pilgrimage_major,41.42207,2.11886,18,ES
Q1212612,pilgrimage_major,48.00000,19.76100,2,HU
Q1242897,pilgrimage_major,47.70871,18.58590,2,HU
Q1257736,pilgrimage_major,50.02904,12.27717,3,DE
Q1262299,pilgrimage_major,51.08330,7.53194,2,DE
Q1274850,pilgrimage_major,47.61070,10.61340,2,DE
Q1280433,pilgrimage_major,49.86032,19.67072,18,PL
Q1287827,pilgrimage_major,49.98588,7.92823,4,DE
Q1294994,pilgrimage_major,48.22050,12.13520,2,DE
Q1296867,pilgrimage_major,47.75222,18.90417,2,HU
Q131530995,pilgrimage_major,14.62408,121.02972,1,PH
Q96099192,pilgrimage_major,46.98281,1.41724,2,FR
Q45384556,pilgrimage_major,46.17597,9.93956,2,IT
Q45402386,pilgrimage_major,40.76169,15.74592,2,IT
Q46540564,pilgrimage_major,13.58823,124.31543,0,PH
Q47103630,pilgrimage_major,48.65473,14.49271,1,CZ
Q47170542,pilgrimage_major,42.07851,2.15224,2,ES
Q47190338,pilgrimage_major,50.49749,15.51569,1,CZ
Q47461941,pilgrimage_major,41.99332,0.38702,1,ES
Q48005877,pilgrimage_major,50.15196,8.42135,1,DE
Q48550939,pilgrimage_major,41.17506,-1.89105,0,ES
Q48731870,pilgrimage_major,23.60610,87.42960,2,IN
Q48847447,pilgrimage_major,52.51640,16.24666,2,PL
Q48865677,pilgrimage_major,52.77533,22.74714,1,PL
Q52066360,pilgrimage_major,44.22454,11.76684,2,IT
Q53881308,pilgrimage_major,-23.10269,-46.60731,1,BR
Q54868669,pilgrimage_major,43.22803,13.08726,1,IT
Q55055362,pilgrimage_major,53.18169,-8.23659,0,IE
Q55086072,pilgrimage_major,45.91375,10.85622,2,IT
Q55109671,pilgrimage_major,45.47519,10.85083,1,IT
Q55110458,pilgrimage_major,42.10496,12.40024,1,IT
Q55115531,pilgrimage_major,45.74921,11.46865,1,IT
Q55115719,pilgrimage_major,45.94272,9.07701,0,IT
Q55133388,pilgrimage_major,45.01000,7.82000,3,IT
Q55138426,pilgrimage_major,39.65133,16.53951,1,IT
Q55138971,pilgrimage_major,44.50996,11.13551,1,IT
Q55170993,pilgrimage_major,45.85589,10.98061,2,IT
Q55172339,pilgrimage_major,44.84947,10.73170,2,IT
Q55181353,pilgrimage_major,44.14887,10.98441,1,IT
Q55237036,pilgrimage_major,53.48853,13.31375,1,DE
Q55428423,pilgrimage_major,51.28650,14.22662,2,DE
Q55499540,pilgrimage_major,41.31370,-0.79439,1,ES
Q55633109,pilgrimage_major,14.72189,121.04164,2,PH
Q55663364,pilgrimage_major,31.77851,35.22953,2,IL
Q55723024,pilgrimage_major,47.83864,13.03979,2,AT
Q56062963,pilgrimage_major,10.10611,123.64000,3,PH
Q56179317,pilgrimage_major,41.62670,-8.43377,2,PT
Q56338525,pilgrimage_major,50.45708,19.55521,1,PL
Q56457378,pilgrimage_major,46.02185,8.79617,2,IT
