qid,lat,lon
Q11998568,55.83330,12.46670
Q12006463,56.03330,12.05000
Q12009527,59.87611,10.37389
Q12009562,55.69440,12.37220
Q12022175,32.42778,34.89500
Q23734919,56.04876,12.23336
Q23736669,57.14440,9.32773
Q24236161,-0.25000,36.08333
Q24677924,56.15641,-4.46416
Q24913392,35.03333,32.63333
Q23746185,55.57440,12.57640
Q25388451,45.37528,-75.16500
Q23747544,55.87000,12.53000
Q23749549,55.66670,12.03330
Q21874750,48.26586,16.33071
Q23780038,36.71667,2.83333
Q23786257,48.22400,11.57500
Q21921551,50.36670,11.55000
Q26717253,52.61167,-7.39389
Q26718755,53.04167,-8.38611
Q23795852,36.75000,3.38333
Q22138769,0.12417,32.52556
Q28035216,41.84574,48.54501
Q31227192,59.96743,10.94713
Q34696004,30.54750,-94.34000
Q37636297,12.86567,99.40017
Q43387591,22.69247,120.98972
Q49548995,-38.15833,176.27500
Q55604347,32.65237,34.96105
Q66623571,48.02320,11.53470
