qid,lat,lon,sitelinks,iso
Q68129,47.35306,7.90778,62,CH
Q68136,46.23045,7.36606,95,CH
Q68144,47.16806,8.51694,84,CH
Q68150,46.88056,8.63944,82,CH
Q68155,47.02055,8.65833,73,CH
Q68160,46.46667,6.85000,72,CH
Q68167,47.02747,7.74526,32,CH
Q68185,46.97530,7.43740,32,CH
Q68189,47.40750,9.46472,41,CH
Q68213,46.72445,6.53223,35,CH
Q68224,45.92500,8.91600,33,CH
Q68227,47.20806,8.70583,41,CH
Q68248,47.19306,7.39583,50,CH
Q68250,47.47861,9.49361,42,CH
Q68256,47.41667,7.08333,48,CH
Q68258,47.56980,9.11200,37,CH
Q68261,47.27028,8.64111,42,CH
Q68269,47.36667,8.78222,36,CH
Q68281,47.37801,9.54875,45,CH
Q68283,46.92806,7.11694,52,CH
Q68286,47.26083,8.59750,53,CH
Q68297,46.29180,7.53200,52,CH
Q68308,46.61667,7.05000,51,CH
Q68311,47.05667,7.62639,52,CH
Q68315,47.44111,9.53111,32,CH
Q68319,46.63000,9.75000,36,CH
Q68352,46.21667,8.61667,22,CH
Q68363,47.41667,7.50000,36,CH
Q68372,46.77780,10.26040,27,CH
Q68387,46.61667,6.41667,24,CH
Q68393,47.61278,8.72694,26,CH
Q68399,47.56083,8.49944,27,CH
Q68423,47.59472,8.67889,32,CH
Q68437,47.56194,8.72306,26,CH
Q68442,47.51630,9.14030,28,CH
Q68449,45.96667,8.98333,29,CH
Q68453,45.95000,8.93333,20,CH
Q68460,46.23333,7.86667,27,CH
Q68469,46.23820,7.85140,29,CH
Q68506,47.25000,6.98333,24,CH
Q68522,47.21366,6.94411,25,CH
Q68532,47.03880,6.79880,24,CH
Q68558,46.90000,7.13333,24,CH
Q68562,47.00000,7.20000,24,CH
Q68587,46.71667,6.38333,28,CH
Q68595,46.83472,6.88833,23,CH
Q68599,47.28333,7.44167,25,CH
Q68612,47.26667,7.20000,19,CH
Q36378,46.80000,7.15000,92,CH
Q39374,47.37306,8.54083,8,CH
Q43188,46.71667,6.50000,28,CH
Q43195,46.31730,6.96460,51,CH
Q43212,46.70000,6.51667,26,CH
Q43232,46.50000,6.38333,35,CH
Q43236,46.88000,7.03980,44,CH
Q43245,46.78333,6.51667,24,CH
Q43251,46.43333,6.25000,29,CH
Q48923,46.26667,6.15000,31,CH
Q52261,46.25000,7.01667,33,CH
Q52267,46.70000,6.50000,24,CH
Q52269,46.83780,6.67130,23,CH
