qid,tier,lat,lon,radius_km,iso
Q2255821,ich_national,31.72275,129.73925,60,JP
Q2258819,ich_national,51.00000,4.50000,60,BE
Q2284770,ich_national,51.22640,4.83580,60,BE
Q2356144,ich_national,42.80000,-7.90000,60,ES
Q2425969,ich_national,51.05391,3.72491,60,BE
Q798826,ich_national,40.35428,116.00649,60,CN
Q814721,ich_national,39.92361,116.43778,60,CN
Q827695,ich_national,39.42042,-0.78997,60,ES
Q829919,ich_national,42.81667,-1.65000,60,ES
Q862407,ich_national,40.82234,140.74739,60,JP
Q867426,ich_national,-6.92185,107.60708,60,ID
Q884650,ich_national,47.05528,10.61972,60,AT
Q895266,ich_national,38.84028,0.10861,60,ES
Q922592,ich_national,43.55611,-5.92222,60,ES
Q1060121,ich_national,39.84904,116.21289,60,CN
Q1063876,ich_national,44.60000,0.97000,60,FR
Q1090986,ich_national,49.59638,0.67649,60,FR
Q1133889,ich_national,39.88675,139.84756,60,JP
Q1151727,ich_national,40.23463,115.61082,60,CN
Q2456855,ich_national,-2.50000,115.50000,60,ID
Q2521298,ich_national,51.07220,2.66220,60,BE
Q2554503,ich_national,50.88500,3.44200,60,BE
Q2562384,ich_national,33.34095,44.38884,60,IQ
Q2593801,ich_national,46.41861,15.87139,60,SI
Q2595098,ich_national,50.03739,11.99939,60,DE
Q2687936,ich_national,51.13111,4.56972,60,BE
Q2710193,ich_national,50.93833,4.03917,60,BE
Q2737124,ich_national,-1.00000,100.50000,60,ID
Q2750225,ich_national,43.01050,-1.60978,60,ES
Q2770902,ich_national,50.71362,4.22364,60,BE
Q2834310,ich_national,39.15000,-0.43500,60,ES
Q2886090,ich_national,37.98610,-1.13030,60,ES
Q2890938,ich_national,42.57694,-2.84611,60,ES
Q2918983,ich_national,37.37111,-5.99750,60,ES
Q2939698,ich_national,36.53500,-6.29750,60,ES
Q2947700,ich_national,48.09070,-4.20668,60,FR
Q2983823,ich_national,59.32944,18.06861,60,SE
Q3001481,ich_national,36.77889,-6.35389,60,ES
Q3017025,ich_national,48.69805,6.19850,60,FR
Q3059019,ich_national,44.35694,2.55694,60,FR
Q3065313,ich_national,43.64806,-7.59000,60,ES
Q3078831,ich_national,49.45000,0.71667,60,FR
Q3092269,ich_national,45.18333,0.71667,60,FR
Q3092917,ich_national,43.49000,-1.48000,60,FR
Q3092923,ich_national,37.60194,-0.98417,60,ES
Q3092925,ich_national,41.65000,-0.88333,60,ES
Q3100145,ich_national,42.86140,-0.92250,60,ES
Q3148109,ich_national,49.40450,0.72624,60,FR
Q3215452,ich_national,47.08333,-1.66667,60,FR
Q3234931,ich_national,-2.98333,104.76444,60,ID
Q3236175,ich_national,-6.17528,106.82694,60,ID
Q114712,ich_national,32.75413,129.88211,60,JP
Q125445,ich_national,39.88220,116.40660,60,CN
Q147371,ich_national,0.97488,102.69539,60,ID
Q197781,ich_national,39.91611,116.42583,60,CN
Q209253,ich_national,-8.50000,115.00000,60,ID
Q266304,ich_national,49.30830,12.84420,60,DE
Q269273,ich_national,48.20750,16.36611,60,AT
Q5254542,ich_national,-7.50000,110.00000,60,ID
Q5259142,ich_national,-6.92185,107.60708,60,ID
Q5262436,ich_national,-3.31443,114.59225,60,ID
Q5398070,ich_national,41.35000,-1.63333,60,ES
Q5409826,ich_national,36.31025,126.85329,60,KR
Q5429969,ich_national,38.99719,-1.87040,60,ES
Q5494246,ich_national,43.36278,-5.65308,60,ES
Q5548448,ich_national,38.27639,-6.92000,60,ES
Q5552003,ich_national,38.47917,-1.32500,60,ES
Q5561151,ich_national,41.35000,-1.63333,60,ES
Q5573755,ich_national,39.89654,-6.46630,60,ES
Q5612352,ich_national,37.89111,-6.56472,60,ES
Q5612454,ich_national,59.70647,14.53177,60,SE
Q5647870,ich_national,38.70000,-0.98306,60,ES
Q5650710,ich_national,38.69833,-0.47361,60,ES
Q5660198,ich_national,42.47000,-2.44556,60,ES
Q6121627,ich_national,-13.51671,-71.97882,60,PE
Q6124463,ich_national,39.07220,-3.61436,60,ES
Q6124466,ich_national,37.76972,-3.78889,60,ES
Q6124473,ich_national,39.15000,-0.43500,60,ES
Q6124477,ich_national,36.84167,-2.46389,60,ES
Q6124480,ich_national,40.97722,-0.44472,60,ES
Q6124486,ich_national,43.55611,-5.92222,60,ES
Q6124485,ich_national,42.45750,-6.05694,60,ES
Q6124498,ich_national,42.34083,-3.69972,60,ES
Q6124500,ich_national,37.47182,-4.43356,60,ES
Q6124511,ich_national,38.23912,-1.41897,60,ES
Q6124513,ich_national,40.07167,-2.13500,60,ES
Q6124517,ich_national,39.47306,-6.37111,60,ES
