WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555567048,La Macaza White-Tailed Deer Yard,IV,40.76,CAN,46.38144,-74.75173
555567049,Lac David White-Tailed Deer Yard,IV,50.43,CAN,46.59722,-75.21879
555567050,Ruisseau Grand-Nord White-Tailed Deer Yard,IV,32.92,CAN,48.35968,-66.06776
555567051,Long-Montauban White-Tailed Deer Yard,IV,74.29,CAN,46.84192,-72.18880
555567052,Kiamika - Lac-du-Cerf White-Tailed Deer Yard,IV,101.83,CAN,46.36236,-75.41503
555567054,Venosta White-Tailed Deer Yard,IV,47.93,CAN,45.83888,-76.12319
555567056,Notre-Dame-du-Laus White-Tailed Deer Yard,IV,88.21,CAN,46.07684,-75.55790
555567058,Plaisance National Park (Québec),II,28.16,CAN,45.60304,-75.10503
555567059,Hautes-Gorges-de-la-Rivière-Malbaie National Park (Québec),II,224.91,CAN,47.92243,-70.51491
555567086,Serpentine-du-Mont-Albert Habitat Of A Threatened Or Vulnerable Plant Species,IA,27.54,CAN,48.90855,-66.17872
555567088,Proposed Rivière-Delay Biodiversity Reserve,II,2889.97,CAN,56.38695,-71.04354
555567093,Proposed Anneaux-Forestiers Biodiversity Reserve,II,133.94,CAN,49.67752,-79.40986
555567094,Proposed Lac-Sérigny Biodiversity Reserve,II,3260.33,CAN,55.37874,-69.73533
555567096,Proposed ruisseau Niquet Biodiversity Reserve,II,164.72,CAN,50.15030,-79.02932
555567098,Proposed Vallée-de-la-Rivière-Maganasipi Biodiversity Reserve,II,89.63,CAN,46.35516,-78.36575
555567099,Proposed lac Wetetnagami Biodiversity Reserve,II,234.28,CAN,48.79076,-76.27894
555567100,Proposed lac Ménistouc Biodiversity Reserve,II,354.79,CAN,52.88779,-66.44430
555567103,Proposed Hirondelle Biodiversity Reserve,II,322.06,CAN,52.92706,-71.68729
555567105,Proposed îles de l'est du Pipmuacan Biodiversity Reserve,II,88.45,CAN,49.54076,-70.08764
555567106,Proposed Seigneurie-du-Triton Biodiversity Reserve,II,410.10,CAN,47.60391,-72.05109
555567107,Proposed Waskaganish Biodiversity Reserve,II,1077.84,CAN,51.49920,-78.09357
555567109,Proposed Buttes-du-Lac-Montjoie Biodiversity Reserve,II,98.27,CAN,46.30666,-75.15076
555567110,Proposed Opémican Biodiversity Reserve,II,29.49,CAN,46.91373,-78.96623
555567111,Proposed Drumlins-du-Lac-Viennaux Biodiversity Reserve,II,701.54,CAN,58.51593,-71.29856
555567113,Proposed Basses-Collines-du-Lac-au-Sorcier Biodiversity Reserve,II,191.11,CAN,46.70091,-73.43558
555567114,Proposed Canyon-de-la-Rivière-aux-Rats Biodiversity Reserve,II,208.50,CAN,47.42224,-73.07602
555567115,Proposed Rivière-Vachon Biodiversity Reserve,II,2532.93,CAN,60.63739,-72.24979
555567118,Proposed Basses-Collines-du-Ruisseau-Serpent Biodiversity Reserve,II,112.34,CAN,46.49877,-78.79667
555567119,Proposed Mont-Sainte-Marie Biodiversity Reserve,II,134.26,CAN,46.00733,-75.77595
555567121,Proposed Esker-Mistaouac Biodiversity Reserve,II,456.46,CAN,49.31765,-78.76024
555567122,Proposed vallée de la rivière Godbout Biodiversity Reserve,II,147.59,CAN,49.64115,-67.81201
555567123,Proposed Lac-Némiscachingue Biodiversity Reserve,II,253.11,CAN,47.45990,-74.43464
