qid,tier,lat,lon,sitelinks,iso
n11387658655,craft_cluster,36.51127,138.13207,0,JP
n11469045387,craft_cluster,36.53402,138.10383,0,JP
n10221407022,craft_cluster,36.54758,138.10732,0,JP
n11527622902,craft_cluster,36.53593,138.17738,0,JP
n6344331355,institution,36.55906,138.19772,0,JP
n6292221740,craft_cluster,36.57712,138.14112,0,JP
n6290650338,craft_cluster,36.58722,138.13757,0,JP
n6290603063,craft_cluster,36.58270,138.18070,0,JP
n8268953467,craft_cluster,36.58577,138.15128,0,JP
n11035331655,institution,36.59577,138.15434,0,JP
n4308160190,craft_cluster,36.60044,138.15463,0,JP
n8660737665,craft_cluster,36.60350,138.17132,0,JP
n6290603049,craft_cluster,36.58983,138.17975,0,JP
n9747492608,craft_cluster,36.60546,138.17770,0,JP
n12405774731,craft_cluster,36.60779,138.17898,0,JP
n11138986792,craft_cluster,36.62012,138.13304,0,JP
n11138986793,craft_cluster,36.62022,138.13231,0,JP
n8827009105,craft_cluster,36.62395,138.14072,0,JP
n10017070426,craft_cluster,36.61854,138.14099,0,JP
n8827009102,craft_cluster,36.62473,138.14602,0,JP
n9000002375,craft_cluster,36.62431,138.14976,0,JP
n5688210694,craft_cluster,36.62608,138.14612,0,JP
n5729327437,craft_cluster,36.62753,138.14963,0,JP
n8827009104,craft_cluster,36.62701,138.14928,0,JP
n8827009106,craft_cluster,36.62661,138.14869,0,JP
n8117822326,craft_cluster,36.62809,138.15204,0,JP
n8949722379,craft_cluster,36.62803,138.15530,0,JP
n7339766998,craft_cluster,36.62954,138.16110,0,JP
n10104710575,craft_cluster,36.62978,138.16562,0,JP
n6738125454,institution,36.62784,138.17161,0,JP
n10104710571,craft_cluster,36.63043,138.17191,0,JP
n10104710574,craft_cluster,36.63127,138.17234,0,JP
n9926224357,craft_cluster,36.63171,138.16947,0,JP
n10104710576,craft_cluster,36.63264,138.17235,0,JP
n6745292439,craft_cluster,36.61575,138.17925,0,JP
n8735850957,craft_cluster,36.61783,138.18180,0,JP
n5794974577,craft_cluster,36.63737,138.18150,0,JP
n5877121633,craft_cluster,36.63777,138.18614,0,JP
n10177901678,craft_cluster,36.63149,138.18407,0,JP
n6801106449,craft_cluster,36.62608,138.19393,0,JP
n3136251529,institution,36.64927,138.18392,0,JP
n8555313119,craft_cluster,36.64570,138.18735,0,JP
n10724729037,institution,36.64594,138.18698,0,JP
n11555382820,craft_cluster,36.64987,138.18702,0,JP
n11555395566,craft_cluster,36.65005,138.18363,0,JP
n11703506677,craft_cluster,36.63831,138.19642,0,JP
n8185900460,craft_cluster,36.64483,138.18940,0,JP
n3136165429,craft_cluster,36.65453,138.18755,0,JP
n5886858094,craft_cluster,36.65564,138.18767,0,JP
n5886932099,craft_cluster,36.65521,138.18822,0,JP
n6311669083,craft_cluster,36.65585,138.18641,0,JP
n6313534119,craft_cluster,36.65478,138.18751,0,JP
n6313534128,institution,36.65452,138.18881,0,JP
n3136179029,craft_cluster,36.65896,138.18748,0,JP
n5907470155,craft_cluster,36.65871,138.18772,0,JP
n6313534110,craft_cluster,36.65843,138.18667,0,JP
n6313534114,craft_cluster,36.65765,138.18628,0,JP
n8285556843,craft_cluster,36.65971,138.18751,0,JP
