id,lat,lon,kind,weight,tag
Q10971819,58.85000,9.45000,A3,0.6,Q45776
Q10977054,62.28300,-6.94900,A3,0.6,Q45776
Q10978459,62.45522,6.23749,A3,0.6,Q45776
Q11026785,60.56875,5.75855,A3,0.6,Q45776
Q11028695,62.09123,5.93140,A3,0.6,Q45776
Q11038445,70.65974,22.59682,A3,0.6,Q45776
Q11042168,59.80789,5.34897,A3,0.6,Q45776
Q11053701,62.05633,-6.86402,A3,0.6,Q45776
Q11070936,59.02044,9.83506,A3,0.6,Q45776
Q11072286,63.35333,9.93444,A3,0.6,Q45776
Q11072316,58.98333,9.73333,A3,0.6,Q45776
Q11072574,63.99463,10.03120,A3,0.6,Q45776
Q11072671,64.10550,10.12115,A3,0.6,Q45776
Q11072734,65.19283,12.48184,A3,0.6,Q45776
Q11072772,63.88060,9.94949,A3,0.6,Q45776
Q11072872,59.12444,9.54361,A3,0.6,Q45776
Q7978743,41.13580,-111.90400,A4,0.5,Q150784
Q7984983,32.28860,-109.10700,A4,0.5,Q150784
Q7994514,37.80890,-110.43000,A4,0.5,Q150784
Q8000996,37.91630,-122.27500,A4,0.5,Q150784
Q8022364,34.70940,-118.35500,A4,0.5,Q150784
Q8023942,43.52030,-108.18000,A4,0.5,Q150784
Q8024258,-17.40890,124.95800,A4,0.5,Q150784
Q8030539,37.75830,-111.26000,A4,0.5,Q150784
Q8038910,31.02500,110.08300,A4,0.5,Q150784
Q8051747,33.45532,-101.53719,A4,0.5,Q150784
Q8054822,43.49310,104.08380,A4,0.5,Q150784
Q8062663,35.25750,140.16000,A4,0.5,Q150784
Q8072495,37.16500,-113.01200,A4,0.5,Q150784
Q8470224,42.04080,0.88828,A4,0.5,Q150784
Q9178756,50.19590,19.82890,A4,0.5,Q150784
Q9325265,49.16080,19.77060,A4,0.5,Q150784
Q9336171,35.74500,138.56639,A4,0.5,Q150784
Q10263006,-24.54944,-50.26944,A4,0.5,Q150784
Q10263008,-5.02972,-41.40830,A4,0.5,Q150784
Q10671849,63.10802,18.50108,A4,0.5,Q150784
Q10856424,39.61111,140.66667,A4,0.5,Q150784
Q10887680,35.02458,135.64333,A4,0.5,Q150784
Q11179607,36.64444,137.68333,A4,0.5,Q150784
Q11352519,33.93875,134.06269,A4,0.5,Q150784
Q11356265,36.12833,139.02972,A4,0.5,Q150784
Q11373325,34.92758,133.52506,A4,0.5,Q150784
Q11377660,35.69844,137.44217,A4,0.5,Q150784
Q11378201,32.90106,131.10429,A4,0.5,Q150784
Q11416636,36.56232,138.72126,A4,0.5,Q150784
Q11418681,31.22030,130.54300,A4,0.5,Q150784
Q11435955,34.21028,136.14861,A4,0.5,Q150784
Q11443338,35.44031,137.81800,A4,0.5,Q150784
Q11445981,33.93836,135.94550,A4,0.5,Q150784
Q11457580,35.77265,137.69945,A4,0.5,Q150784
Q11457662,35.17879,138.10575,A4,0.5,Q150784
Q11471062,34.69812,133.36755,A4,0.5,Q150784
Q11506372,40.55417,139.96722,A4,0.5,Q150784
Q11521813,32.15142,131.36794,A4,0.5,Q150784
Q11561258,36.96775,138.75164,A4,0.5,Q150784
Q11566280,33.90719,135.88628,A4,0.5,Q150784
Q11566281,33.90722,135.87944,A4,0.5,Q150784
Q11566594,36.87694,139.52167,A4,0.5,Q150784
Q11589515,43.73183,142.20250,A4,0.5,Q150784
Q11597754,35.29627,132.73701,A4,0.5,Q150784
Q11598262,35.28589,134.84047,A4,0.5,Q150784
Q11598381,36.68417,140.46722,A4,0.5,Q150784
Q11650227,34.51389,134.24444,A4,0.5,Q150784
Q11653371,36.09178,139.11700,A4,0.5,Q150784
Q11665780,35.53855,137.12787,A4,0.5,Q150784
Q11667254,35.13184,137.31337,A4,0.5,Q150784
Q11668622,33.78859,134.07896,A4,0.5,Q150784
Q11673379,35.16833,133.02333,A4,0.5,Q150784
Q11675320,38.73639,140.69222,A4,0.5,Q150784
Q11679305,36.86333,139.71306,A4,0.5,Q150784
Q11872286,62.85833,29.97778,A4,0.5,Q150784
Q11879006,48.93086,20.39881,A4,0.5,Q150784
Q11888280,61.00944,25.53583,A4,0.5,Q150784
Q11921073,42.36264,1.67074,A4,0.5,Q150784
Q11921074,38.96256,-0.49053,A4,0.5,Q150784
Q11924663,42.22664,1.33939,A4,0.5,Q150784
Q11924666,42.08937,1.29279,A4,0.5,Q150784
Q11940381,41.15774,0.61852,A4,0.5,Q150784
Q11981075,59.76864,10.11631,A4,0.5,Q150784
Q12006580,60.36944,6.04250,A4,0.5,Q150784
Q12029575,48.94777,20.41884,A4,0.5,Q150784
Q12035143,48.93568,20.39504,A4,0.5,Q150784
Q12260081,42.87267,-1.32957,A4,0.5,Q150784
Q12265341,42.88485,-1.82537,A4,0.5,Q150784
Q12277501,42.84498,22.13079,A4,0.5,Q150784
Q12308771,55.27380,11.91650,A4,0.5,Q150784
Q12363991,57.76487,26.88083,A4,0.5,Q150784
Q12479620,-7.73525,108.45641,A4,0.5,Q150784
Q12624348,38.18211,127.27917,A4,0.5,Q150784
Q12634190,45.35227,15.06162,A4,0.5,Q150784
Q12634581,44.14203,18.67661,A4,0.5,Q150784
Q12763046,49.02587,18.34957,A4,0.5,Q150784
Q12767729,49.02926,19.60424,A4,0.5,Q150784
Q12793339,46.23944,14.35768,A4,0.5,Q150784
Q12812366,38.38444,29.29972,A4,0.5,Q150784
Q12867786,42.45060,42.55150,A4,0.5,Q150784
Q12885724,35.24619,23.98974,A4,0.5,Q150784
Q12905103,41.66750,20.63500,A4,0.5,Q150784
Q12905215,42.04668,21.76310,A4,0.5,Q150784
Q12905359,41.48333,21.18333,A4,0.5,Q150784
Q12906050,41.40528,22.26139,A4,0.5,Q150784
Q12906804,41.96056,22.56472,A4,0.5,Q150784
Q12909551,41.66889,21.78500,A4,0.5,Q150784
Q12910385,41.07500,21.67100,A4,0.5,Q150784
Q12957835,42.98295,19.05629,A4,0.5,Q150784
Q262035,-2.51667,150.25000,A3,0.7,Q23442
Q262662,14.44306,-61.03889,A3,0.7,Q23442
Q263567,47.94155,11.30877,A3,0.7,Q23442
Q264718,53.22389,-168.43222,A3,0.7,Q23442
Q266329,11.80450,-66.13910,A3,0.7,Q23442
Q266594,-17.66667,168.41667,A3,0.7,Q23442
Q267404,-77.56670,-149.33300,A3,0.7,Q23442
Q267725,3.91139,108.24250,A3,0.7,Q23442
Q268282,18.83333,-73.08333,A3,0.7,Q23442
Q269205,-14.29972,-170.72250,A3,0.7,Q23442
Q270375,9.50000,100.00000,A3,0.7,Q23442
Q271030,-3.44583,126.63222,A3,0.7,Q23442
Q271199,68.28667,15.03667,A3,0.7,Q23442
Q271209,55.26250,9.74750,A3,0.7,Q23442
Q271287,10.56667,72.63889,A3,0.7,Q23442
Q271328,66.23333,12.21667,A3,0.7,Q23442
Q271355,55.63500,10.17800,A3,0.7,Q23442
Q271901,-0.85944,169.53694,A3,0.7,Q23442
Q272311,66.09952,-22.66254,A3,0.7,Q23442
Q272668,37.00447,27.21622,A3,0.7,Q23442
Q274569,-13.91667,-171.75000,A3,0.7,Q23442
Q274830,-17.08333,168.58333,A3,0.7,Q23442
Q276833,22.55170,114.26979,A3,0.7,Q23442
Q277389,42.62722,18.11944,A3,0.7,Q23442
Q278082,57.00000,-6.35000,A3,0.7,Q23442
Q279273,47.86830,12.41640,A3,0.7,Q23442
Q279794,58.25000,-152.50000,A3,0.7,Q23442
Q280842,-81.46670,161.90000,A3,0.7,Q23442
Q281139,45.47310,12.41690,A3,0.7,Q23442
Q281968,49.95417,-6.33250,A3,0.7,Q23442
Q282059,-11.33333,-50.41667,A3,0.7,Q23442
Q282210,60.66670,-0.90000,A3,0.7,Q23442
Q282813,70.11664,-143.90987,A3,0.7,Q23442
Q283065,-61.07260,-54.47105,A3,0.7,Q23442
Q283573,20.20861,-90.48417,A3,0.7,Q23442
Q285416,29.99389,48.06667,A3,0.7,Q23442
Q285468,32.62778,129.73833,A3,0.7,Q23442
Q287248,-16.72250,168.23139,A3,0.7,Q23442
Q287380,31.39944,121.69028,A3,0.7,Q23442
Q287394,22.35830,114.35500,A3,0.7,Q23442
Q287404,22.28415,114.18230,A3,0.7,Q23442
Q287531,24.49917,54.34389,A3,0.7,Q23442
Q287860,-33.70668,-78.94184,A3,0.7,Q23442
Q289161,38.09179,-75.20380,A3,0.7,Q23442
Q289266,42.76667,16.51667,A3,0.7,Q23442
Q291977,45.49404,-73.89851,A3,0.7,Q23442
Q292021,-20.03694,57.70000,A3,0.7,Q23442
Q292023,-49.00000,69.28333,A3,0.7,Q23442
Q292039,-48.86667,69.45000,A3,0.7,Q23442
Q292060,45.61056,-73.72333,A3,0.7,Q23442
