qid,lat,lon
Q568090,45.08030,2.70611
Q575891,12.42470,-86.53850
Q576906,58.19500,-155.25300
Q576985,-40.77472,-72.15639
Q577482,-27.10833,-68.71667
Q577700,-40.59028,-72.11722
Q2340739,1.69917,127.87833
Q2352524,-8.73000,120.98000
Q2360498,10.74447,-75.24140
Q2375482,14.85000,-24.71667
Q578799,19.23083,-98.03194
Q586852,-24.30000,324.60000
Q587915,0.33333,127.36667
Q590920,5.08917,-75.29222
Q605355,-0.41300,-90.70900
Q2381562,-8.30000,122.89200
Q2386185,54.59333,160.27333
Q2396057,-8.35800,122.84200
Q2401434,58.08333,160.75000
Q2425296,56.28000,117.77000
Q2433163,-8.71667,120.01667
Q2439886,-36.86333,-71.37667
Q2454241,-37.11500,-12.28500
Q2467823,-33.78167,-69.89722
Q2483640,-8.53222,123.57333
Q2512172,50.43000,7.26417
Q2530684,-31.85000,-179.18333
Q2530709,12.55346,-83.95890
Q2535356,20.50000,110.16667
Q2549314,-7.97000,113.57000
Q2553917,-42.79917,-72.44583
Q2561231,47.12083,152.24611
Q2564984,48.75806,154.01444
Q2573663,-8.18000,119.05000
Q2585148,45.38917,148.83781
Q2589906,54.53333,159.80000
Q2593019,51.49000,157.20000
Q2594712,48.71667,126.12000
Q2595055,56.33389,158.68000
Q2601149,45.50140,148.86030
Q2601582,44.42222,146.12667
Q2603516,52.38167,-174.16583
Q2604945,-78.18330,167.50000
Q2620173,43.41783,142.68622
Q2621082,54.75000,157.36667
Q2622322,-27.30111,-68.80889
Q2633479,64.78170,-21.56226
Q2638551,-36.84858,174.76726
Q2639098,36.10000,136.50000
Q2643122,-7.12000,108.08000
Q2651559,43.97639,145.73611
Q2655929,19.80889,-96.52639
Q2656048,28.60500,-17.84111
Q2661998,14.15611,-90.40694
Q2664586,43.84306,145.50556
Q2666739,45.37698,147.91324
Q2669883,51.50000,102.50000
Q2670289,52.06300,157.70300
Q2672141,14.71028,-91.47861
Q2672570,-0.18333,-91.28333
Q2723928,63.63000,-19.62000
Q2729027,52.66150,156.92230
Q2735753,-7.14333,107.83972
Q2740999,0.07917,99.98333
Q2742687,-21.88778,-68.39139
Q2746400,-0.93333,29.33333
Q2786660,-8.02000,112.68000
Q2788686,28.62497,-17.84042
Q2827325,-23.36833,-67.68500
Q2827394,10.30000,107.00000
Q2841341,38.10000,306.50000
Q2844426,-58.70000,60.87000
Q2854575,-7.20800,107.63000
Q2854860,52.71917,99.03472
Q2861446,-24.41694,-67.98750
Q2868734,-27.18190,-68.57620
Q2882838,45.61080,2.77278
Q2895004,-24.33170,-68.06390
Q2901375,-8.63664,120.53095
Q2903912,33.21111,35.78889
Q2903945,33.18528,35.79361
Q2904267,32.95944,35.86389
Q2905170,33.11500,35.78889
Q2933737,-37.85000,-71.00000
Q2934098,-37.91667,-71.45000
Q2940365,-40.30800,-72.07000
Q2941145,12.68921,-86.95761
Q2943430,-41.25000,-72.27000
Q2946773,14.05300,-89.63150
Q2946775,-40.76816,-71.94312
Q2946783,-23.83540,-67.95150
Q2956453,40.52417,-121.52111
Q2956713,4.81667,-75.36667
Q2964415,12.70337,-87.04359
Q2974420,16.03340,-61.65700
Q2976672,51.88389,-178.14139
Q3006369,-38.71500,77.52000
Q3019403,55.13000,-301.52000
Q3033707,9.34444,40.13194
Q3042741,-58.43333,-26.33333
Q3042964,-49.60000,56.18000
Q3046481,0.13000,-78.27000
Q3065113,14.33333,-89.78000
Q3066185,-42.37667,-72.57806
Q3077985,0.70000,30.25000
Q1582571,6.11417,124.88972
Q1584353,33.08194,35.83389
Q1586649,-41.75889,-72.40028
Q1601043,52.83900,-169.75867
Q1602444,64.88767,-23.32846
Q1622310,50.36030,7.19889
Q1622342,50.37170,7.21917
Q3087410,-22.15000,-67.96667
Q3090546,-54.97310,-70.27160
Q3100052,8.35554,39.18034
Q3107788,16.18000,90.26000
Q3114564,45.81450,2.98220
Q3114585,45.79060,2.95528
Q3116451,-24.20050,-68.06650
Q3116456,-34.81816,-70.35031
Q3116465,-45.10583,-73.16917
Q3116485,14.43000,-89.90000
Q607196,12.70352,-87.00622
Q609982,-37.41000,-71.35111
Q614531,50.20056,154.98139
Q634065,-25.16667,-68.50000
Q639993,11.57194,42.49583
Q642114,50.28860,6.73129
Q682455,54.75000,-163.96667
Q691021,-45.06250,-72.98583
Q692922,58.26667,-155.15667
Q695846,-1.40833,29.20000
Q701516,48.08333,7.66667
Q704869,47.50000,120.70000
Q713619,42.82722,140.80639
Q713826,39.09917,140.04889
Q713836,39.85250,141.00111
Q713847,31.18000,130.52833
Q717453,36.10361,138.29500
Q718441,37.73000,140.25000
Q729764,40.73013,13.89514
Q731961,-14.33194,-73.75694
Q747135,50.41420,16.33334
Q747584,28.30000,-16.85000
Q752994,65.73333,-16.78333
Q753924,14.38083,-90.60111
Q757314,50.85972,155.55944
Q758574,-21.22083,-68.46833
Q760819,-9.70374,160.06071
Q765048,13.01000,308.79000
Q776480,63.87500,-22.06300
Q783798,52.82222,-169.94500
Q788723,21.04083,16.47361
Q791652,53.25500,158.83278
Q794264,1.08526,-77.71876
Q797800,19.52333,121.94000
Q799818,-4.80000,146.23333
Q804039,-1.51111,29.44833
Q804562,14.05000,48.33333
Q805832,-2.55000,147.28333
Q805915,-3.61667,144.81667
Q809722,10.80000,107.20000
Q814113,71.07967,-8.15588
Q818475,14.01000,120.99750
Q828701,8.94950,39.75300
