country,place,kind,lat,lon,score,on printed map,printed rank,archetypes,whs,sources
Algeria,Bordj Ghdir,settlement,35.9011,4.8981,26,yes,14.0,,1,"ghsl-ucdb, osm, unesco-whs, wikidata"
Algeria,Ouargla,settlement,31.9493,5.325,26,yes,11.0,A11,0,"ghsl-ucdb, osm"
Algeria,Constantine,settlement,36.365,6.6147,25,no,,A11,0,"ghsl-ucdb, osm, wikidata"
Algeria,Sidi Bel Abbes,settlement,35.1899,-0.6309,25,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Tizi Ouzou,settlement,36.7118,4.0459,23,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Zeralda,settlement,36.7117,2.8424,23,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Médéa,settlement,36.2642,2.7539,22,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Chorfa,settlement,36.365,4.3264,20,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Rouached,settlement,36.4577,6.0427,20,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Khenchela,settlement,35.4358,7.1433,19,no,,A11,0,"ghsl-ucdb, osm"
Algeria,’Aïn el Hammam,settlement,36.5647,4.3062,19,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Mostaganem,settlement,35.9312,0.0892,19,yes,18.0,A11,0,"ghsl-ucdb, osm"
Algeria,Tamanghasset,settlement,22.785,5.5228,18,yes,12.0,A11,0,"ghsl-ucdb, osm"
Algeria,Oued Rhiou,settlement,35.9612,0.919,17,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Cherchell,settlement,36.605,2.1908,17,no,,A11,0,"ghsl-ucdb, osm"
Algeria,El Abiodh Sidi Cheikh,settlement,32.893,0.5484,17,yes,13.0,A11,0,"cuisine, ghsl-ucdb, osm"
Algeria,Ouled Mimoun,settlement,34.9047,-1.0339,17,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Akbou,settlement,36.4575,4.5349,17,no,,A11,0,"ghsl-ucdb, osm, wikidata"
Algeria,Mascara,settlement,35.3966,0.1403,17,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Annaba,settlement,36.9,7.7667,16,no,,A11,0,"ghsl-ucdb, osm, wikidata"
Algeria,Bou Ismaïl,settlement,36.6426,2.6901,15,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Kolea,settlement,36.6389,2.7685,15,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Skikda,settlement,36.8762,6.9092,15,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Djelfa,settlement,34.6728,3.263,15,yes,17.0,A11,0,"ghsl-ucdb, osm"
Algeria,Mila,settlement,36.4503,6.2644,15,no,,A11,0,"ghsl-ucdb, osm, wikidata"
Algeria,Mazouna,settlement,36.1223,0.8986,14,no,,A11,0,"ghsl-ucdb, osm"
Algeria,el hed,settlement,36.65,4.7736,14,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Oued Zenati,settlement,36.3161,7.1636,14,yes,20.0,A11,0,"ghsl-ucdb, osm"
Algeria,Guelma,settlement,36.4621,7.4261,14,no,,A11,0,"ghsl-ucdb, osm, wikidata"
Algeria,Sidi Khaled,settlement,34.387,4.9878,14,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Aïn Defla,settlement,36.264,1.9679,13,yes,21.0,A11,0,"ghsl-ucdb, osm"
Algeria,Aïn Oussera,settlement,35.4514,2.9058,13,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Miliana,settlement,36.3055,2.2248,13,no,,A11,0,"ghsl-ucdb, osm"
Algeria,M'Sila,settlement,35.7089,4.5372,13,no,,A11,0,"ghsl-ucdb, osm, wikidata"
Algeria,District of Taher,settlement,36.772,5.8982,13,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Bou Saâda,settlement,35.2086,4.174,12,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Larbaâ,settlement,36.5647,3.1543,12,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Oum el Bouaghi,settlement,35.8754,7.1135,12,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Aoulef,settlement,26.9667,1.0833,12,yes,15.0,A11,0,"cuisine, ghsl-ucdb, osm"
Algeria,Béchar,settlement,31.6167,-2.2167,12,yes,16.0,A11,0,"cuisine, ghsl-ucdb, osm"
Algeria,Mouzaïa,settlement,36.4669,2.6899,12,no,,A11,0,"ghsl-ucdb, osm"
